"lab2","population","treatment","flask","species","day","latbb80","latbb50","latbb1"
"mp.HC.HP.LF.28.amealn.1","mp","HC.HP.LF",28,"amealn",17,22,20,13
"mp.HC.HP.LF.28.rhoalb.1","mp","HC.HP.LF",28,"rhoalb",13,NA,NA,13
"mp.HC.HP.LF.28.riblac.1","mp","HC.HP.LF",28,"riblac",20,NA,49,30
"mp.HC.HP.LF.28.sorsco.1","mp","HC.HP.LF",28,"sorsco",27,NA,NA,NA
"mp.HC.HP.LF.29.poptre.1","mp","HC.HP.LF",29,"poptre",33,NA,NA,NA
"mp.HC.HP.LF.29.riblac.1","mp","HC.HP.LF",29,"riblac",49,82,39,30
"mp.HC.HP.LF.29.spipyr.1","mp","HC.HP.LF",29,"spipyr",20,27,20,20
"mp.HC.HP.LF.29.spipyr.2","mp","HC.HP.LF",29,"spipyr",20,NA,NA,27
"mp.HC.HP.LF.3.popbal.1","mp","HC.HP.LF",3,"popbal",30,NA,NA,NA
"mp.HC.HP.LF.3.poptre.1","mp","HC.HP.LF",3,"poptre",52,NA,NA,NA
"mp.HC.HP.LF.3.spipyr.1","mp","HC.HP.LF",3,"spipyr",20,NA,49,20
"mp.HC.HP.LF.30.rhoalb.1","mp","HC.HP.LF",30,"rhoalb",20,NA,52,20
"mp.HC.HP.LF.30.riblac.1","mp","HC.HP.LF",30,"riblac",82,NA,NA,36
"mp.HC.HP.LF.30.riblac.2","mp","HC.HP.LF",30,"riblac",61,NA,70,49
"mp.HC.HP.LF.30.vacmem.1","mp","HC.HP.LF",30,"vacmem",12,NA,20,12
"mp.HC.HP.LF.31.amealn.1","mp","HC.HP.LF",31,"amealn",10,13,10,10
"mp.HC.HP.LF.31.riblac.1","mp","HC.HP.LF",31,"riblac",55,NA,84,33
"mp.HC.HP.LF.31.samrac.1","mp","HC.HP.LF",31,"samrac",30,NA,NA,NA
"mp.HC.HP.LF.31.samrac.2","mp","HC.HP.LF",31,"samrac",52,27,27,27
"mp.HC.HP.LF.32.amealn.1","mp","HC.HP.LF",32,"amealn",10,NA,10,10
"mp.HC.HP.LF.32.corsto.1","mp","HC.HP.LF",32,"corsto",10,10,10,10
"mp.HC.HP.LF.32.rhoalb.1","mp","HC.HP.LF",32,"rhoalb",7,16,16,10
"mp.HC.HP.LF.33.corsto.1","mp","HC.HP.LF",33,"corsto",13,13,13,13
"mp.HC.HP.LF.33.loninv.1","mp","HC.HP.LF",33,"loninv",34,NA,NA,58
"mp.HC.HP.LF.33.shecan.1","mp","HC.HP.LF",33,"shecan",58,36,30,27
"mp.HC.HP.LF.33.vibedu.1","mp","HC.HP.LF",33,"vibedu",17,NA,NA,20
"mp.HC.HP.LF.34.alnvir.1","mp","HC.HP.LF",34,"alnvir",39,52,52,49
"mp.HC.HP.LF.34.riblac.1","mp","HC.HP.LF",34,"riblac",76,NA,39,36
"mp.HC.HP.LF.34.spibet.1","mp","HC.HP.LF",34,"spibet",24,24,24,24
"mp.HC.HP.LF.34.spipyr.1","mp","HC.HP.LF",34,"spipyr",24,24,24,24
"mp.HC.HP.LF.35.loninv.1","mp","HC.HP.LF",35,"loninv",20,NA,NA,20
"mp.HC.HP.LF.35.loninv.2","mp","HC.HP.LF",35,"loninv",10,NA,NA,84
"mp.HC.HP.LF.35.sorsco.1","mp","HC.HP.LF",35,"sorsco",16,NA,NA,NA
"mp.HC.HP.LF.35.vacmem.1","mp","HC.HP.LF",35,"vacmem",30,NA,NA,16
