"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1","treatment"
"181","mp.HC.HP.LF.14.alninc.2","mp","HC","HP","LF",14,"alninc",23,1,30,30,27,"HC.HP.LF"
"182","mp.HC.HP.LF.14.menfer.1","mp","HC","HP","LF",14,"menfer",52,1,NA,NA,52,"HC.HP.LF"
"183","mp.HC.HP.LF.14.spipyr.1","mp","HC","HP","LF",14,"spipyr",23,1,NA,84,23,"HC.HP.LF"
"184","mp.HC.HP.LF.15.menfer.1","mp","HC","HP","LF",15,"menfer",33,1,43,36,33,"HC.HP.LF"
"185","mp.HC.HP.LF.15.popbal.1","mp","HC","HP","LF",15,"popbal",27,1,27,27,27,"HC.HP.LF"
"186","mp.HC.HP.LF.15.spipyr.1","mp","HC","HP","LF",15,"spipyr",33,1,NA,NA,33,"HC.HP.LF"
"187","mp.HC.HP.LF.15.symalb.1","mp","HC","HP","LF",15,"symalb",27,1,NA,33,27,"HC.HP.LF"
"188","mp.HC.HP.LF.16.poptre.1","mp","HC","HP","LF",16,"poptre",52,1,52,52,52,"HC.HP.LF"
"189","mp.HC.HP.LF.16.shecan.1","mp","HC","HP","LF",16,"shecan",30,1,39,36,30,"HC.HP.LF"
"190","mp.HC.HP.LF.16.symalb.1","mp","HC","HP","LF",16,"symalb",20,1,27,24,20,"HC.HP.LF"
"191","mp.HC.HP.LF.16.vibedu.1","mp","HC","HP","LF",16,"vibedu",13,1,NA,16,13,"HC.HP.LF"
"192","mp.HC.HP.LF.17.corsto.1","mp","HC","HP","LF",17,"corsto",16,1,NA,16,16,"HC.HP.LF"
"193","mp.HC.HP.LF.17.rhoalb.1","mp","HC","HP","LF",17,"rhoalb",20,1,NA,NA,42,"HC.HP.LF"
"194","mp.HC.HP.LF.17.riblac.1","mp","HC","HP","LF",17,"riblac",42,1,NA,82,42,"HC.HP.LF"
"195","mp.HC.HP.LF.17.rubpar.1","mp","HC","HP","LF",17,"rubpar",30,1,39,39,30,"HC.HP.LF"
"196","mp.HC.HP.LF.18.acegla.1","mp","HC","HP","LF",18,"acegla",39,1,NA,76,39,"HC.HP.LF"
"197","mp.HC.HP.LF.18.alninc.1","mp","HC","HP","LF",18,"alninc",16,1,20,20,16,"HC.HP.LF"
"198","mp.HC.HP.LF.18.alnvir.1","mp","HC","HP","LF",18,"alnvir",42,1,46,46,42,"HC.HP.LF"
"199","mp.HC.HP.LF.18.sorsco.1","mp","HC","HP","LF",18,"sorsco",20,1,NA,NA,NA,"HC.HP.LF"
"200","mp.HC.HP.LF.19.poptre.1","mp","HC","HP","LF",19,"poptre",58,1,NA,70,61,"HC.HP.LF"
"201","mp.HC.HP.LF.19.rubpar.1","mp","HC","HP","LF",19,"rubpar",27,1,NA,NA,27,"HC.HP.LF"
"202","mp.HC.HP.LF.19.symalb.1","mp","HC","HP","LF",19,"symalb",16,1,NA,30,16,"HC.HP.LF"
"203","mp.HC.HP.LF.19.vibedu.1","mp","HC","HP","LF",19,"vibedu",16,1,NA,NA,16,"HC.HP.LF"
"204","mp.HC.HP.LF.2.corsto.1","mp","HC","HP","LF",2,"corsto",16,1,24,16,16,"HC.HP.LF"
"205","mp.HC.HP.LF.2.rubpar.1","mp","HC","HP","LF",2,"rubpar",30,1,NA,33,30,"HC.HP.LF"
"206","mp.HC.HP.LF.2.rubpar.2","mp","HC","HP","LF",2,"rubpar",33,1,NA,36,33,"HC.HP.LF"
"207","mp.HC.HP.LF.2.sorsco.1","mp","HC","HP","LF",2,"sorsco",8,1,NA,NA,NA,"HC.HP.LF"
"208","mp.HC.HP.LF.20.amealn.1","mp","HC","HP","LF",20,"amealn",10,1,27,12,10,"HC.HP.LF"
"209","mp.HC.HP.LF.20.menfer.1","mp","HC","HP","LF",20,"menfer",58,1,NA,67,58,"HC.HP.LF"
"210","mp.HC.HP.LF.20.rhoalb.1","mp","HC","HP","LF",20,"rhoalb",10,1,16,16,16,"HC.HP.LF"
"211","mp.HC.HP.LF.20.sorsco.1","mp","HC","HP","LF",20,"sorsco",27,1,NA,NA,NA,"HC.HP.LF"
