"lab2","population","treatment","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"mp.HC.HP.LF.18.alnvir.1","mp","HC.HP.LF",18,"alnvir",42,1,46,46,42
"mp.HC.HP.LF.18.sorsco.1","mp","HC.HP.LF",18,"sorsco",20,1,NA,NA,NA
"mp.HC.HP.LF.19.poptre.1","mp","HC.HP.LF",19,"poptre",58,1,NA,73,61
"mp.HC.HP.LF.19.rubpar.1","mp","HC.HP.LF",19,"rubpar",27,1,NA,NA,27
"mp.HC.HP.LF.19.symalb.1","mp","HC.HP.LF",19,"symalb",16,1,NA,30,16
"mp.HC.HP.LF.19.vibedu.1","mp","HC.HP.LF",19,"vibedu",16,1,NA,NA,16
"mp.HC.HP.LF.2.corsto.1","mp","HC.HP.LF",2,"corsto",16,1,24,16,16
"mp.HC.HP.LF.2.rubpar.1","mp","HC.HP.LF",2,"rubpar",30,1,NA,33,30
"mp.HC.HP.LF.2.rubpar.2","mp","HC.HP.LF",2,"rubpar",33,1,NA,36,33
"mp.HC.HP.LF.2.sorsco.1","mp","HC.HP.LF",2,"sorsco",8,1,NA,NA,NA
"mp.HC.HP.LF.20.amealn.1","mp","HC.HP.LF",20,"amealn",10,1,27,12,10
"mp.HC.HP.LF.20.menfer.1","mp","HC.HP.LF",20,"menfer",58,1,NA,67,58
"mp.HC.HP.LF.20.rhoalb.1","mp","HC.HP.LF",20,"rhoalb",10,1,16,16,16
"mp.HC.HP.LF.20.sorsco.1","mp","HC.HP.LF",20,"sorsco",27,1,NA,NA,NA
"mp.HC.HP.LF.21.popbal.1","mp","HC.HP.LF",21,"popbal",27,1,NA,NA,NA
"mp.HC.HP.LF.21.samrac.1","mp","HC.HP.LF",21,"samrac",16,1,27,16,16
"mp.HC.HP.LF.21.sorsco.1","mp","HC.HP.LF",21,"sorsco",16,1,30,24,20
"mp.HC.HP.LF.21.vibedu.1","mp","HC.HP.LF",21,"vibedu",16,1,NA,27,16
"mp.HC.HP.LF.22.loninv.1","mp","HC.HP.LF",22,"loninv",84,1,NA,NA,84
"mp.HC.HP.LF.22.loninv.2","mp","HC.HP.LF",22,"loninv",30,1,NA,NA,30
"mp.HC.HP.LF.22.riblac.1","mp","HC.HP.LF",22,"riblac",33,1,49,36,33
"mp.HC.HP.LF.22.spipyr.1","mp","HC.HP.LF",22,"spipyr",20,1,NA,20,20
"mp.HC.HP.LF.23.alnvir.1","mp","HC.HP.LF",23,"alnvir",58,1,61,58,58
"mp.HC.HP.LF.23.samrac.1","mp","HC.HP.LF",23,"samrac",24,1,NA,43,43
"mp.HC.HP.LF.23.shecan.1","mp","HC.HP.LF",23,"shecan",20,1,30,27,20
"mp.HC.HP.LF.23.spipyr.1","mp","HC.HP.LF",23,"spipyr",20,1,58,27,20
"mp.HC.HP.LF.24.alninc.1","mp","HC.HP.LF",24,"alninc",20,1,27,27,27
"mp.HC.HP.LF.24.poptre.1","mp","HC.HP.LF",24,"poptre",49,1,58,55,49
"mp.HC.HP.LF.24.spibet.1","mp","HC.HP.LF",24,"spibet",20,1,NA,NA,20
"mp.HC.HP.LF.24.vibedu.1","mp","HC.HP.LF",24,"vibedu",20,1,24,20,20
"mp.HC.HP.LF.25.acegla.1","mp","HC.HP.LF",25,"acegla",43,1,NA,NA,NA
"mp.HC.HP.LF.25.alnvir.1","mp","HC.HP.LF",25,"alnvir",49,1,73,67,49
"mp.HC.HP.LF.25.corsto.1","mp","HC.HP.LF",25,"corsto",13,1,20,13,13
"mp.HC.HP.LF.25.menfer.1","mp","HC.HP.LF",25,"menfer",49,1,NA,NA,49
"mp.HC.HP.LF.26.acegla.1","mp","HC.HP.LF",26,"acegla",20,1,NA,NA,NA
"mp.HC.HP.LF.26.alninc.1","mp","HC.HP.LF",26,"alninc",20,1,27,20,20
"mp.HC.HP.LF.26.poptre.1","mp","HC.HP.LF",26,"poptre",52,1,58,52,52
"mp.HC.HP.LF.26.shecan.1","mp","HC.HP.LF",26,"shecan",24,1,33,27,24
"mp.HC.HP.LF.27.poptre.1","mp","HC.HP.LF",27,"poptre",46,1,49,49,49
"mp.HC.HP.LF.27.sorsco.1","mp","HC.HP.LF",27,"sorsco",20,1,NA,NA,NA
"mp.HC.HP.LF.27.vacmem.1","mp","HC.HP.LF",27,"vacmem",20,1,24,20,20
"mp.HC.HP.LF.27.vacmem.2","mp","HC.HP.LF",27,"vacmem",NA,0,NA,NA,NA
"mp.HC.HP.LF.28.amealn.1","mp","HC.HP.LF",28,"amealn",13,1,24,20,13
"mp.HC.HP.LF.28.rhoalb.1","mp","HC.HP.LF",28,"rhoalb",13,1,NA,NA,13
"mp.HC.HP.LF.28.riblac.1","mp","HC.HP.LF",28,"riblac",20,1,NA,49,30
"mp.HC.HP.LF.28.sorsco.1","mp","HC.HP.LF",28,"sorsco",27,1,NA,NA,NA
"mp.HC.HP.LF.29.poptre.1","mp","HC.HP.LF",29,"poptre",33,1,NA,NA,NA
"mp.HC.HP.LF.29.riblac.1","mp","HC.HP.LF",29,"riblac",30,1,82,39,30
"mp.HC.HP.LF.29.spipyr.1","mp","HC.HP.LF",29,"spipyr",20,1,27,20,20
"mp.HC.HP.LF.29.spipyr.2","mp","HC.HP.LF",29,"spipyr",20,1,NA,NA,27
"mp.HC.HP.LF.3.popbal.1","mp","HC.HP.LF",3,"popbal",30,1,NA,NA,NA
"mp.HC.HP.LF.3.poptre.1","mp","HC.HP.LF",3,"poptre",52,1,NA,NA,NA
"mp.HC.HP.LF.3.spipyr.1","mp","HC.HP.LF",3,"spipyr",20,1,NA,49,20
"mp.HC.HP.LF.3.vacmem.1","mp","HC.HP.LF",3,"vacmem",20,1,NA,NA,20
"mp.HC.HP.LF.30.rhoalb.1","mp","HC.HP.LF",30,"rhoalb",20,1,NA,52,20
"mp.HC.HP.LF.30.riblac.1","mp","HC.HP.LF",30,"riblac",36,1,NA,NA,36
"mp.HC.HP.LF.30.riblac.2","mp","HC.HP.LF",30,"riblac",49,1,NA,73,49
"mp.HC.HP.LF.30.vacmem.1","mp","HC.HP.LF",30,"vacmem",12,1,NA,20,12
"mp.HC.HP.LF.31.amealn.1","mp","HC.HP.LF",31,"amealn",10,1,13,10,10
"mp.HC.HP.LF.31.riblac.1","mp","HC.HP.LF",31,"riblac",33,1,NA,84,33
"mp.HC.HP.LF.31.samrac.1","mp","HC.HP.LF",31,"samrac",30,1,NA,NA,NA
"mp.HC.HP.LF.31.samrac.2","mp","HC.HP.LF",31,"samrac",27,1,27,27,27
"mp.HC.HP.LF.32.amealn.1","mp","HC.HP.LF",32,"amealn",10,1,NA,10,10
"mp.HC.HP.LF.32.corsto.1","mp","HC.HP.LF",32,"corsto",10,1,10,10,10
"mp.HC.HP.LF.32.rhoalb.1","mp","HC.HP.LF",32,"rhoalb",7,1,16,16,10
"mp.HC.HP.LF.32.rubpar.1","mp","HC.HP.LF",32,"rubpar",20,1,NA,NA,20
"mp.HC.HP.LF.33.corsto.1","mp","HC.HP.LF",33,"corsto",13,1,13,13,13
"mp.HC.HP.LF.33.loninv.1","mp","HC.HP.LF",33,"loninv",36,1,NA,NA,58
