"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"244","mp.HC.HP.LF.29.poptre.1","mp","HC","HP","LF",29,"poptre",33,1,NA,NA,NA
"245","mp.HC.HP.LF.29.riblac.1","mp","HC","HP","LF",29,"riblac",30,1,82,39,30
"246","mp.HC.HP.LF.29.spipyr.1","mp","HC","HP","LF",29,"spipyr",20,1,27,20,20
"247","mp.HC.HP.LF.29.spipyr.2","mp","HC","HP","LF",29,"spipyr",20,1,NA,NA,27
"248","mp.HC.HP.LF.3.popbal.1","mp","HC","HP","LF",3,"popbal",30,1,NA,NA,NA
"249","mp.HC.HP.LF.3.poptre.1","mp","HC","HP","LF",3,"poptre",52,1,NA,NA,NA
"250","mp.HC.HP.LF.3.spipyr.1","mp","HC","HP","LF",3,"spipyr",20,1,NA,49,20
"251","mp.HC.HP.LF.3.vacmem.1","mp","HC","HP","LF",3,"vacmem",20,1,NA,NA,20
"252","mp.HC.HP.LF.30.rhoalb.1","mp","HC","HP","LF",30,"rhoalb",20,1,NA,52,20
"253","mp.HC.HP.LF.30.riblac.1","mp","HC","HP","LF",30,"riblac",36,1,NA,NA,36
"254","mp.HC.HP.LF.30.riblac.2","mp","HC","HP","LF",30,"riblac",49,1,NA,70,49
"255","mp.HC.HP.LF.30.vacmem.1","mp","HC","HP","LF",30,"vacmem",12,1,NA,20,12
