day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.l,percent4.l,
16,sm,LHH,11,26,loninv,3,100,1,10,15,7,25,3,15,12,NA,NA,NA,
16,sm,LHH, D,26,popre,0,100,6,0,100,NA,NA,NA,NA,46,NA,NA,NA,
16,mp,LHH,NA,27,alninc,3,100,3,1,25,0,75,NA,NA,13,NA,NA,NA,
16,mp,LHH,NA,27,amealn,1,100,1,3,10,1,30,0,60,27,NA,NA,NA,
16,mp,LHH,NA,27,samrac,1,100,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,27,spibet,1,100,1,1,70,0,30,NA,NA,12,NA,NA,NA,
16,sm,LHH,NA,27,alninc,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,27,poptre,7,20,5,1,10,0,90,NA,NA,NA,NA,3,80,
16,sm,LHH,NA,27,symalb,NA,NA,NA,3,80,1,20,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,28,acegla,3,100,1,3,100,NA,NA,NA,NA,9,NA,NA,NA,
16,mp,LHH,NA,28,corsto,10,100,2,10,20,1,40,0,40,10,NA,NA,NA,
16,mp,LHH,NA,28,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,28,vacmem,10,15,NA,3,30,1,50,0,10,NA,NA,9,45,
16,sm,LHH,NA,28,acegla,1,100,1,1,60,0,40,NA,NA,10,NA,NA,NA,
16,sm,LHH,NA,28,alninc,0,100,1,0,100,NA,NA,NA,NA,5,NA,NA,NA,
16,sm,LHH,19,28,alnvir,3,100,3,3,65,1,35,NA,NA,14,NA,NA,NA,
16,sm,LHH,NA,28,poptre,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,29,rubpar,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,9,29,shecan,3,100,2,3,70,1,30,NA,NA,60,NA,NA,NA,
16,mp,LHH,NA,29,shecan,3,100,4,3,60,1,40,NA,NA,60,NA,NA,NA,
16,mp,LHH,NA,29,symalb,NA,NA,NA,1,50,0,50,NA,NA,NA,NA,NA,NA,
16,sm,LHH,7,29,shecan,1,50,2,3,30,1,70,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,29,shecan,1,100,1,7,20,3,80,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,29,spipyr,9,100,1,7,10,3,80,1,10,NA,NA,NA,NA,
16,sm,LHH,NA,30,popbal,1,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,30,rubpar,1,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,,30,rubpar,0,NA,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,,30,samrac,9,50,2,7,100,NA,NA,NA,NA,NA,NA,7,50,
16,sm,LHH,NA,30,spipyr,1,100,1,3,10,1,40,0,50,22,NA,NA,NA,
16,sm,LHH,A-tape,30,symalb,NA,NA,NA,3,40,1,50,0,10,NA,NA,NA,NA,
16,sm,LHH,,30,symalb,NA,NA,NA,3,10,1,30,0,60,NA,NA,NA,NA,
16,sm,LHH,NA,30,vacmem,3,60,NA,1,20,0,80,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,30,vacmem,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,31,corsto,1,100,1,1,100,NA,NA,NA,NA,8,NA,NA,NA,
16,mp,LHH,NA,31,riblac,3,100,4,3,85,1,16,NA,NA,36,NA,NA,NA,
16,mp,LHH,A,31,vacmem,3,10,NA,1,40,0,60,NA,NA,NA,NA,NA,NA,
