site,abbrev,asorscoignment,flask
sm,riblac,HC_LP_LF,T2-3
sm,spipyr,HC_LP_LF,T2-B28
sm,corsto,HC_LP_LF,T20-C
sm,loninv,HC_LP_LF,T20-10
sm,popbal,HC_LP_LF,T20-8
sm,sorsco,HC_LP_LF,T20-xx
sm,riblac,HC_LP_LF,T21-D
sm,rubpar,HC_LP_LF,T21
sm,vibedu,HC_LP_LF,T21-E
sm,vacmem,HC_LP_LF,T21-oct21
sm,riblac,HC_LP_LF,T22-D
sm,shecan8,HC_LP_LF,T22
sm,vacmem,HC_LP_LF,T22-oct21
sm,amealn,HC_LP_LF,T23-3
sm,alninc,HC_LP_LF,T23-1
sm,popbal,HC_LP_LF,T23-8
sm,rubpar,HC_LP_LF,T23-cl
sm,popbal,HC_LP_LF,T24
sm,poptre,HC_LP_LF,T24
sm,symalb,HC_LP_LF,T24
sm,sorsco,HC_LP_LF,T24
sm,acegla,HC_LP_LF,T25--13
sm,riblac,HC_LP_LF,T25--11
sm,spipyr,HC_LP_LF,T25--b8
sm,vibedu,HC_LP_LF,T25--2
sm,betpap,HC_LP_LF,T26-6
sm,poptre,HC_LP_LF,T26-8
sm,symalb,HC_LP_LF,T26
sm,sorsco,HC_LP_LF,T26-XX
sm,riblac,HC_LP_LF,T27-D
sm,symalb,HC_LP_LF,T27
sm,spibet,HC_LP_LF,T27
sm,vacmem,HC_LP_LF,T27-oct21
sm,amealn,HC_LP_LF,T28-6
sm,amealn,HC_LP_LF,T28-A
Shecan10,,,
sm,loninv,HC_LP_LF,T28-5
sm,spipyr,HC_LP_LF,T28-B26
sm,alninc,HC_LP_LF,T29--3
sm,alninc,HC_LP_LF,T29--4
sm,betpap,HC_LP_LF,T29--a
sm,betpap,HC_LP_LF,T29--b
sm,loninv,HC_LP_LF,T3-7
sm,popbal,HC_LP_LF,T3-A
sm,riblac,HC_LP_LF,T3-3
sm,sorsco,HC_LP_LF,T3--xx
sm,amealn,HC_LP_LF,T30-3
sm,alninc,HC_LP_LF,T30-2
sm,alnvir,HC_LP_LF,T30-2
sm,spipyr,HC_LP_LF,T30-b12
sm,amealn,HC_LP_LF,T31-7
sm,alninc,HC_LP_LF,T31-1
sm,menfer,HC_LP_LF,T31-1
sm,symalb,HC_LP_LF,T31-2
sm,acegla,HC_LP_LF,T32--15
sm,betpap,HC_LP_LF,T32--A
sm,popbal,HC_LP_LF,T32--3
sm,spibet,HC_LP_LF,T32--A6
sm,corsto,HC_LP_LF,T33-8
sm,popbal,HC_LP_LF,T33-8
sm,rubpar,HC_LP_LF,T33
sm,sorsco,HC_LP_LF,T33
Shecan6,,,
sm,alnvir,HC_LP_LF,T34-2
sm,alnvir,HC_LP_LF,T34-6
sm,corsto,HC_LP_LF,T34-9
sm,vibedu,HC_LP_LF,T34-9
sm,amealn,HC_LP_LF,T35-1
sm,alninc,HC_LP_LF,T35-1
sm,poptre,HC_LP_LF,T35-7
sm,vacmem,HC_LP_LF,T35-oct 21
sm,alninc,HC_LP_LF,T36- 4
sm,corsto,HC_LP_LF,T36-9
sm,corsto,HC_LP_LF,T36-5
sm,vibedu,HC_LP_LF,T36-6
sm,loninv,HC_LP_LF,T37-11
sm,rubpar,HC_LP_LF,T37-w/10
sm,sorsco,HC_LP_LF,T37-xx
sm,spipyr,HC_LP_LF,T37
sm,menfer,HC_LP_LF,T38-3
sm,poptre,HC_LP_LF,T38-7
sm,sorsco,HC_LP_LF,T38-xx
sm,vacmem,HC_LP_LF,T38-oct21
sm,acegla,HC_LP_LF,T39--13
sm,symalb,HC_LP_LF,T39--cl
sm,spibet,HC_LP_LF,T39--a11
sm,vacmem,HC_LP_LF,T39--oct21
sm,acegla,HC_LP_LF,T4--9
sm,alnvir,HC_LP_LF,T4--10
sm,corsto,HC_LP_LF,T4--9
sm,menfer,HC_LP_LF,T4--3
sm,acegla,HC_LP_LF,T40--7
sm,alnvir,HC_LP_LF,T40--19
sm,poptre,HC_LP_LF,T40--#1
sm,rubpar,HC_LP_LF,T40-cl
sm,poptre,HC_LP_LF,T5-b
sm,rubpar,HC_LP_LF,T5
sm,shecan,HC_LP_LF,T5-10
sm,vibedu,HC_LP_LF,T5-3
sm,alnvir,HC_LP_LF,T6-2
sm,symalb,HC_LP_LF,T6-2
sm,sorsco,HC_LP_LF,T6
sm,sorsco,HC_LP_LF,T6
sm,acegla,HC_LP_LF,T7--10
sm,poptre,HC_LP_LF,T7--D
sm,riblac,HC_LP_LF,T7--11
sm,symalb,HC_LP_LF,T7--2
sm,corsto,HC_LP_LF,T8-8
