chamber,date_time,temp,day_night,callibration,force
12,2020-01-12 12:08,22.046,day,1.705,high
12,2020-01-12 13:08,21.951,day,1.705,high
12,2020-01-12 14:08,21.855,day,1.705,high
12,2020-01-12 15:08,22.046,day,1.705,high
12,2020-01-12 16:08,22.046,day,1.705,high
12,2020-01-12 17:08,21.951,day,1.705,high
12,2020-01-12 18:08,21.951,day,1.705,high
12,2020-01-12 19:08,21.951,day,1.705,high
12,2020-01-12 20:08,21.664,day,1.705,high
12,2020-01-12 21:08,16.999,transition,1.705,high
12,2020-01-12 22:08,11.139,night,1.705,high
12,2020-01-12 23:08,10.651,night,1.705,high
12,2020-01-13 0:08,10.651,night,1.705,high
12,2020-01-13 1:08,10.553,night,1.705,high
12,2020-01-13 2:08,10.553,night,1.705,high
12,2020-01-13 3:08,10.553,night,1.705,high
12,2020-01-13 4:08,10.553,night,1.705,high
12,2020-01-13 5:08,10.553,night,1.705,high
12,2020-01-13 6:08,10.553,night,1.705,high
12,2020-01-13 7:08,10.553,night,1.705,high
12,2020-01-13 8:08,10.748,night,1.705,high
12,2020-01-13 9:08,15.378,transition,1.705,high
12,2020-01-13 10:08,21.473,day,1.705,high
12,2020-01-13 11:08,22.046,day,1.705,high
12,2020-01-13 12:08,22.046,day,1.705,high
12,2020-01-13 13:08,22.046,day,1.705,high
12,2020-01-13 14:08,21.951,day,1.705,high
12,2020-01-13 15:08,21.951,day,1.705,high
12,2020-01-13 16:08,21.951,day,1.705,high
12,2020-01-13 17:08,21.855,day,1.705,high
12,2020-01-13 18:08,21.951,day,1.705,high
12,2020-01-13 19:08,21.951,day,1.705,high
12,2020-01-13 20:08,21.664,day,1.705,high
12,2020-01-13 21:08,16.903,transition,1.705,high
12,2020-01-13 22:08,11.139,night,1.705,high
12,2020-01-13 23:08,10.553,night,1.705,high
12,2020-01-14 0:08,10.553,night,1.705,high
12,2020-01-14 1:08,10.553,night,1.705,high
12,2020-01-14 2:08,10.553,night,1.705,high
12,2020-01-14 3:08,10.553,night,1.705,high
12,2020-01-14 4:08,10.553,night,1.705,high
12,2020-01-14 5:08,10.553,night,1.705,high
12,2020-01-14 6:08,10.553,night,1.705,high
12,2020-01-14 7:08,10.553,night,1.705,high
12,2020-01-14 8:08,10.651,night,1.705,high
12,2020-01-14 9:08,15.378,transition,1.705,high
12,2020-01-14 10:08,21.473,day,1.705,high
12,2020-01-14 11:08,22.046,day,1.705,high
12,2020-01-14 12:08,22.142,day,1.705,high
12,2020-01-14 13:08,22.046,day,1.705,high
12,2020-01-14 14:08,20.615,day,1.705,high
12,2020-01-14 15:08,20.615,day,1.705,high
12,2020-01-14 16:08,21.473,day,1.705,high
12,2020-01-14 17:08,21.569,day,1.705,high
