"Plot Title: 14"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9786027, SEN S/N: 9786027)","Bad Battery (LGR S/N: 9786027)","Host Connected (LGR S/N: 9786027)","Coupler Attached (LGR S/N: 9786027)","End Of File (LGR S/N: 9786027)"
410,2019/12/27 07:00:00 PM,26.879,,,,
411,2019/12/27 08:00:00 PM,23.100,,,,
412,2019/12/27 09:00:00 PM,18.045,,,,
413,2019/12/27 10:00:00 PM,10.553,,,,
414,2019/12/27 11:00:00 PM,10.357,,,,
415,2019/12/28 12:00:00 AM,10.357,,,,
416,2019/12/28 01:00:00 AM,10.259,,,,
417,2019/12/28 02:00:00 AM,10.259,,,,
418,2019/12/28 03:00:00 AM,10.259,,,,
419,2019/12/28 04:00:00 AM,10.259,,,,
420,2019/12/28 05:00:00 AM,10.161,,,,
421,2019/12/28 06:00:00 AM,10.259,,,,
422,2019/12/28 07:00:00 AM,10.161,,,,
423,2019/12/28 08:00:00 AM,13.846,,,,
424,2019/12/28 09:00:00 AM,18.521,,,,
425,2019/12/28 10:00:00 AM,26.488,,,,
426,2019/12/28 11:00:00 AM,26.683,,,,
427,2019/12/28 12:00:00 PM,26.781,,,,
428,2019/12/28 01:00:00 PM,26.781,,,,
429,2019/12/28 02:00:00 PM,26.781,,,,
430,2019/12/28 03:00:00 PM,26.977,,,,
431,2019/12/28 04:00:00 PM,26.977,,,,
432,2019/12/28 05:00:00 PM,26.000,,,,
433,2019/12/28 06:00:00 PM,25.805,,,,
434,2019/12/28 07:00:00 PM,25.708,,,,
435,2019/12/28 08:00:00 PM,22.046,,,,
436,2019/12/28 09:00:00 PM,17.094,,,,
437,2019/12/28 10:00:00 PM,10.651,,,,
438,2019/12/28 11:00:00 PM,10.455,,,,
439,2019/12/29 12:00:00 AM,10.357,,,,
440,2019/12/29 01:00:00 AM,10.259,,,,
441,2019/12/29 02:00:00 AM,10.259,,,,
442,2019/12/29 03:00:00 AM,10.259,,,,
443,2019/12/29 04:00:00 AM,10.259,,,,
444,2019/12/29 05:00:00 AM,10.259,,,,
445,2019/12/29 06:00:00 AM,10.259,,,,
446,2019/12/29 07:00:00 AM,10.357,,,,
447,2019/12/29 08:00:00 AM,13.942,,,,
448,2019/12/29 09:00:00 AM,18.616,,,,
449,2019/12/29 10:00:00 AM,25.513,,,,
450,2019/12/29 11:00:00 AM,25.708,,,,
451,2019/12/29 12:00:00 PM,25.805,,,,
452,2019/12/29 01:00:00 PM,25.805,,,,
453,2019/12/29 02:00:00 PM,25.805,,,,
454,2019/12/29 03:00:00 PM,25.805,,,,
455,2019/12/29 03:44:58 PM,,,Logged,,
456,2019/12/29 03:44:59 PM,,,,Logged,Logged
