site,flask_id,indiv
mp,corsto_HC_LP_LF_18,10
mp,symalb_HC_LP_LF_18,ll
mp,vibedu_HC_LP_LF_18,11
mp,popbal_HC_LP_LF_19,6
mp,poptre_HC_LP_LF_19,5
mp,rhoalb_HC_LP_LF_19,3
mp,shecan_HC_LP_LF_19,2
mp,acegla_HC_LP_LF_2,11
mp,alnvir_HC_LP_LF_2,
mp,samrac_HC_LP_LF_2,4
mp,shecan_HC_LP_LF_2,6
mp,alnvir_HC_LP_LF_20,8
mp,loninv_HC_LP_LF_20,A
mp,rubpar_HC_LP_LF_20,tmj
mp,sorsco_HC_LP_LF_20,14
mp,corsto_HC_LP_LF_21,1
mp,shecan_HC_LP_LF_21,10
mp,vacmem_HC_LP_LF_21,LL
mp,vibedu_HC_LP_LF_21,10
mp,acegla_HC_LP_LF_22,11
mp,alninc_HC_LP_LF_22,9
mp,sorsco_HC_LP_LF_22,8
mp,spipyr_HC_LP_LF_22,
mp,rubpar_HC_LP_LF_23,7
mp,samrac_HC_LP_LF_23,6
mp,symalb_HC_LP_LF_23,sf
mp,symalb_HC_LP_LF_23,sf
mp,popbal_HC_LP_LF_24,10
mp,popbal_HC_LP_LF_24,10
mp,samrac_HC_LP_LF_24,6
mp,spibet_HC_LP_LF_24,tmj
mp,alninc_HC_LP_LF_25,9
mp,menfer_HC_LP_LF_25,10
mp,samrac_HC_LP_LF_25,3
mp,symalb_HC_LP_LF_25,
mp,menfer_HC_LP_LF_26,2
mp,poptre_HC_LP_LF_26,8
mp,rhoalb_HC_LP_LF_26,1
mp,samrac_HC_LP_LF_26,4
mp,acegla_HC_LP_LF_27,10
mp,loninv_HC_LP_LF_27,Atml
mp,riblac_HC_LP_LF_27,4
mp,symalb_HC_LP_LF_27,w/6
mp,acegla_HC_LP_LF_28,11
mp,alninc_HC_LP_LF_28,9
mp,rhoalb_HC_LP_LF_28,11
mp,spipyr_HC_LP_LF_28,wjt
mp,loninv_HC_LP_LF_29,A
mp,poptre_HC_LP_LF_29,Heg
mp,vibedu_HC_LP_LF_29,4
mp,vibedu_HC_LP_LF_29,2
mp,acegla_HC_LP_LF_3,7
mp,popbal_HC_LP_LF_3,6
mp,sorsco_HC_LP_LF_3,12
mp,sorsco_HC_LP_LF_3,13
mp,poptre_HC_LP_LF_30,6
mp,rhoalb_HC_LP_LF_30,11
mp,riblac_HC_LP_LF_30,6
mp,spipyr_HC_LP_LF_30,wjt
mp,alninc_HC_LP_LF_31,4
mp,corsto_HC_LP_LF_31,1
mp,loninv_HC_LP_LF_31,A
mp,vacmem_HC_LP_LF_31,LL
mp,loninv_HC_LP_LF_32,8
mp,riblac_HC_LP_LF_32,6
mp,symalb_HC_LP_LF_32,w/9
mp,vacmem_HC_LP_LF_32,wjt
mp,acegla_HC_LP_LF_33,11
mp,alnvir_HC_LP_LF_33,2
mp,amealn_HC_LP_LF_33,8
mp,vibedu_HC_LP_LF_33,12
mp,alnvir_HC_LP_LF_34,1
mp,amealn_HC_LP_LF_34,6
mp,vacmem_HC_LP_LF_34,LL
mp,vibedu_HC_LP_LF_34,2
mp,alnvir_HC_LP_LF_35,1
mp,sorsco_HC_LP_LF_35,9
mp,spibet_HC_LP_LF_35,tml
mp,vacmem_HC_LP_LF_35,LL
mp,amealn_HC_LP_LF_36,4
mp,menfer_HC_LP_LF_36,8
mp,popbal_HC_LP_LF_36,9
mp,rubpar_HC_LP_LF_36,sg
mp,amealn_HC_LP_LF_37,2
mp,shecan_HC_LP_LF_37,6
mp,sorsco_HC_LP_LF_37,10
mp,spibet_HC_LP_LF_37,tml
mp,alnvir_HC_LP_LF_38,4
mp,corsto_HC_LP_LF_38,10
mp,corsto_HC_LP_LF_38,6
mp,popbal_HC_LP_LF_38,8
mp,menfer_HC_LP_LF_39,4
mp,poptre_HC_LP_LF_39,Heg
mp,samrac_HC_LP_LF_39,Ase
mp,spibet_HC_LP_LF_39,tml
mp,alnvir_HC_LP_LF_4,7
mp,corsto_HC_LP_LF_4,7
mp,rhoalb_HC_LP_LF_4,1
mp,vacmem_HC_LP_LF_4,wjt
mp,loninv_HC_LP_LF_40,A
mp,menfer_HC_LP_LF_40,4
mp,riblac_HC_LP_LF_40,Asf
mp,spipyr_HC_LP_LF_40,2
mp,poptre_HC_LP_LF_5,Heg
mp,shecan_HC_LP_LF_5,9
mp,shecan_HC_LP_LF_5,10
mp,symalb_HC_LP_LF_5,eg
mp,menfer_HC_LP_LF_6,2
mp,sorsco_HC_LP_LF_6,8
mp,spipyr_HC_LP_LF_6,wjt
mp,spipyr_HC_LP_LF_6,wjt
mp,menfer_HC_LP_LF_7,10
mp,popbal_HC_LP_LF_7,10
mp,sorsco_HC_LP_LF_7,9
mp,vacmem_HC_LP_LF_7,ll
mp,loninv_HC_LP_LF_8,8
mp,riblac_HC_LP_LF_8,6
mp,shecan_HC_LP_LF_8,6
mp,spipyr_HC_LP_LF_8,wjt
mp,amealn_HC_LP_LF_9,2
mp,loninv_HC_LP_LF_9,8
