"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"ACERUB09_SH_03","ACERUB09_SH_03_chill0_LP_HF","SH","WS0","chill0","HF","LP","ACERUB",34,NA
"ACERUB09_SH_05","ACERUB09_SH_05_HC_HP_HF","SH","WL2","HC","HF","HP","ACERUB",53,NA
"ACERUB09_SH_07","ACERUB09_SH_07_LC_HP_LF","SH","CL1","LC","LF","HP","ACERUB",50,NA
"ACERUB10_SH_02","ACERUB10_SH_02_HC_HP_LF","SH","CL2","HC","LF","HP","ACERUB",49,NA
"ACERUB11_HF_09","ACERUB11_HF_09_chill0_HP_HF","HF","WL0","chill0","HF","HP","ACERUB",26,NA
"ACERUB13_HF_05","ACERUB13_HF_05_LC_LP_HF","HF","WS1","LC","HF","LP","ACERUB",49,NA
"ACERUB13_HF_10","ACERUB13_HF_10_LC_LP_LF","HF","CS1","LC","LF","LP","ACERUB",56,NA
"ACERUB99_HF_03","ACERUB99_HF_03_LC_LP_HF","HF","WS1","LC","HF","LP","ACERUB",57,NA
"ACERUB99_HF_04","ACERUB99_HF_04_HC_HP_LF","HF","CL2","HC","LF","HP","ACERUB",56,NA
"ACERUB99_HF_07","ACERUB99_HF_07_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACERUB",56,NA
"ACERUB99_HF_08","ACERUB99_HF_08_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACERUB",47,NA
"ACESAC02_HF_02","ACESAC02_HF_02_HC_LP_HF","HF","WS2","HC","HF","LP","ACESAC",74,NA
"ACESAC02_HF_03","ACESAC02_HF_03_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACESAC",61,NA
"ACESAC02_HF_05","ACESAC02_HF_05_HC_HP_HF","HF","WL2","HC","HF","HP","ACESAC",69,NA
"ACESAC02_HF_06","ACESAC02_HF_06_HC_LP_LF","HF","CS2","HC","LF","LP","ACESAC",85,NA
"ACESAC02_HF_08","ACESAC02_HF_08_LC_HP_HF","HF","WL1","LC","HF","HP","ACESAC",71,NA
"ACESAC02_HF_10","ACESAC02_HF_10_LC_HP_LF","HF","CL1","LC","LF","HP","ACESAC",76,NA
"ACESAC02_HF_11","ACESAC02_HF_11_HC_HP_LF","HF","CL2","HC","LF","HP","ACESAC",70,NA
"ACESAC02_SH_01","ACESAC02_SH_01_HC_HP_HF","SH","WL2","HC","HF","HP","ACESAC",47,NA
"ACESAC02_SH_06","ACESAC02_SH_06_LC_HP_HF","SH","WL1","LC","HF","HP","ACESAC",64,NA
"ACESAC02_SH_09","ACESAC02_SH_09_LC_LP_LF","SH","CS1","LC","LF","LP","ACESAC",85,NA
