"","lab","day","population","chill","photo","force","flask","percent4.t","indiv","tbb","nl","latbb80","latbb50","latbb1","treatment"
"114","mp_HC_HP_HF_37_symalb",28,"mp","HC","HP","HF",37,NA,"w/6",28,1,NA,24,13,"HC_HP_HF"
"115","mp_HC_HP_HF_37_vibedu",26,"mp","HC","HP","HF",37,NA,"5",26,1,NA,NA,NA,"HC_HP_HF"
"116","mp_HC_HP_HF_38_corsto",68,"mp","HC","HP","HF",38,NA,"10",68,1,10,10,7,"HC_HP_HF"
"117","mp_HC_HP_HF_38_popbal",24,"mp","HC","HP","HF",38,75,"8",24,1,NA,NA,NA,"HC_HP_HF"
"118","mp_HC_HP_HF_38_riblac",43,"mp","HC","HP","HF",38,NA,"4",43,1,NA,NA,26,"HC_HP_HF"
"119","mp_HC_HP_HF_38_vacmem",20,"mp","HC","HP","HF",38,10,"ll",20,1,24,24,10,"HC_HP_HF"
"120","mp_HC_HP_HF_39_alnvir",46,"mp","HC","HP","HF",39,NA,"6",46,1,24,24,23,"HC_HP_HF"
"121","mp_HC_HP_HF_39_menfer",49,"mp","HC","HP","HF",39,NA,"10",49,1,37,24,23,"HC_HP_HF"
"122","mp_HC_HP_HF_39_rhoalb",6,"mp","HC","HP","HF",39,NA,"1",49,1,NA,NA,13,"HC_HP_HF"
"123","mp_HC_HP_HF_39_sorsco",23,"mp","HC","HP","HF",39,50,"10",23,1,NA,NA,NA,"HC_HP_HF"
"124","mp_HC_HP_HF_4_popbal",24,"mp","HC","HP","HF",4,60,"8",24,1,19,19,19,"HC_HP_HF"
"125","mp_HC_HP_HF_4_sorsco",8,"mp","HC","HP","HF",4,NA,"12",21,1,16,13,13,"HC_HP_HF"
"126","mp_HC_HP_HF_4_symalb",24,"mp","HC","HP","HF",4,NA,"w/6",24,1,24,10,10,"HC_HP_HF"
"127","mp_HC_HP_HF_4_vacmem",80,"mp","HC","HP","HF",4,NA,"ll",80,1,NA,NA,16,"HC_HP_HF"
"128","mp_HC_HP_HF_40_alnvir",12,"mp","HC","HP","HF",40,NA,"6",68,1,22,22,19,"HC_HP_HF"
"129","mp_HC_HP_HF_40_corsto",41,"mp","HC","HP","HF",40,NA,"2",41,1,19,10,10,"HC_HP_HF"
"130","mp_HC_HP_HF_40_spipyr",12,"mp","HC","HP","HF",40,NA,"wjt",12,1,24,24,10,"HC_HP_HF"
"131","mp_HC_HP_HF_40_vibedu",6,"mp","HC","HP","HF",40,NA,"9",12,1,NA,24,10,"HC_HP_HF"
"132","mp_HC_HP_HF_41_corsto",39,"mp","HC","HP","HF",41,NA,NA,39,1,16,13,10,"HC_HP_HF"
"133","mp_HC_HP_HF_41_loninv",64,"mp","HC","HP","HF",41,NA,NA,64,1,NA,NA,NA,"HC_HP_HF"
"134","mp_HC_HP_HF_41_poptre",64,"mp","HC","HP","HF",41,NA,NA,64,1,19,16,16,"HC_HP_HF"
"135","mp_HC_HP_HF_41_rubpar",31,"mp","HC","HP","HF",41,NA,NA,31,1,NA,NA,19,"HC_HP_HF"
"136","mp_HC_HP_HF_5_alnvir",42,"mp","HC","HP","HF",5,NA,"5",42,1,57,57,34,"HC_HP_HF"
"137","mp_HC_HP_HF_5_corsto",52,"mp","HC","HP","HF",5,NA,"10",52,1,10,10,7,"HC_HP_HF"
"138","mp_HC_HP_HF_5_menfer",13,"mp","HC","HP","HF",5,NA,"7",52,1,72,48,40,"HC_HP_HF"
"139","mp_HC_HP_HF_5_symalb",33,"mp","HC","HP","HF",5,NA,"w/1",33,1,24,13,10,"HC_HP_HF"
"140","mp_HC_HP_HF_6_loninv",54,"mp","HC","HP","HF",6,NA,"a_tml",54,1,NA,NA,NA,"HC_HP_HF"
"141","mp_HC_HP_HF_6_rubpar",79,"mp","HC","HP","HF",6,NA,"tml",79,1,NA,24,19,"HC_HP_HF"
"142","mp_HC_HP_HF_6_spipyr",79,"mp","HC","HP","HF",6,NA,"NA",79,1,7,7,7,"HC_HP_HF"
"143","mp_HC_HP_HF_6_symalb",28,"mp","HC","HP","HF",6,NA,"NA",28,1,24,10,10,"HC_HP_HF"
"144","mp_HC_HP_HF_7_alnvir",26,"mp","HC","HP","HF",7,NA,"1",55,1,48,31,31,"HC_HP_HF"
"145","mp_HC_HP_HF_7_popbal",17,"mp","HC","HP","HF",7,NA,"6",53,1,19,19,19,"HC_HP_HF"
"146","mp_HC_HP_HF_7_rubpar",24,"mp","HC","HP","HF",7,NA,"tml",24,1,24,19,19,"HC_HP_HF"
