"","site","chill","photo","force","indiv","flask","species"
"1670","mp","HC","LP","HF","a","3","menfer"
"1671","mp","HC","LP","HF","5","3","poptre"
"1672","mp","HC","LP","HF","11","3","rhoalb"
"1673","mp","HC","LP","HF","a","3","vacmem"
"1674","mp","HC","LP","HF","8","30","loninv"
"1675","mp","HC","LP","HF","1","30","rhoalb"
"1676","mp","HC","LP","HF","sf","30","rubpar"
"1677","mp","HC","LP","HF","3","30","samrac"
"1678","mp","HC","LP","HF","1","31","alnvir"
"1679","mp","HC","LP","HF","9","31","shecan"
"1680","mp","HC","LP","HF","10","31","shecan"
"1681","mp","HC","LP","HF","eg","31","symalb"
"1682","mp","HC","LP","HF","8","32","popbal"
"1683","mp","HC","LP","HF","4","32","shecan"
"1684","mp","HC","LP","HF","wjt","32","spibet"
"1685","mp","HC","LP","HF","11","32","vibedu"
"1686","mp","HC","LP","HF","a_sf","33","riblac"
"1687","mp","HC","LP","HF","9","33","rubpar"
"1688","mp","HC","LP","HF","9","33","rubpar"
"1689","mp","HC","LP","HF","ll","33","vacmem"
"1690","mp","HC","LP","HF","5","34","alninc"
"1691","mp","HC","LP","HF","9","34","alninc"
"1692","mp","HC","LP","HF","2","34","corsto"
"1693","mp","HC","LP","HF","10","34","sorsco"
"1694","mp","HC","LP","HF","5","35","acegla"
"1695","mp","HC","LP","HF","1","35","alnvir"
"1696","mp","HC","LP","HF","sf","35","rubpar"
"1697","mp","HC","LP","HF",NA,"35","spipyr"
"1698","mp","HC","LP","HF","1","36","amealn"
"1699","mp","HC","LP","HF","2","36","corsto"
"1700","mp","HC","LP","HF","wjt","36","spipyr"
"1701","mp","HC","LP","HF","wjt","36","symalb"
"1702","mp","HC","LP","HF","6","37","poptre"
"1703","mp","HC","LP","HF","sf","37","rubpar"
"1704","mp","HC","LP","HF","4","37","spibet"
"1705","mp","HC","LP","HF","wjt","37","spipyr"
"1706","mp","HC","LP","HF","a_sf","38","riblac"
"1707","mp","HC","LP","HF","a_sf","38","samrac"
"1708","mp","HC","LP","HF","6","38","samrac"
"1709","mp","HC","LP","HF","4","38","sorsco"
"1710","mp","HC","LP","HF","9","39","menfer"
"1711","mp","HC","LP","HF","6","39","popbal"
"1712","mp","HC","LP","HF","8","39","popbal"
"1713","mp","HC","LP","HF","9","39","rhoalb"
"1714","mp","HC","LP","HF","5","4","acegla"
"1715","mp","HC","LP","HF","2","4","amealn"
"1716","mp","HC","LP","HF","2","4","popbal"
"1717","mp","HC","LP","HF","3","4","riblac"
"1718","mp","HC","LP","HF","6","40","alnvir"
"1719","mp","HC","LP","HF","2","40","amealn"
"1720","mp","HC","LP","HF","sf","40","rubpar"
"1721","mp","HC","LP","HF","4","40","vibedu"
"1722","mp","HC","LP","HF","5","5","acegla"
"1723","mp","HC","LP","HF","3","5","riblac"
"1724","mp","HC","LP","HF","2","5","samrac"
"1725","mp","HC","LP","HF",NA,"5","spipyr"
"1726","mp","HC","LP","HF","11","6","acegla"
"1727","mp","HC","LP","HF","7","6","menfer"
"1728","mp","HC","LP","HF","10","6","samrac"
"1729","mp","HC","LP","HF","3","6","sorsco"
"1730","mp","HC","LP","HF","10","7","riblac"
"1731","mp","HC","LP","HF","12","7","sorsco"
"1732","mp","HC","LP","HF","ll","7","symalb"
"1733","mp","HC","LP","HF","wjt","7","vacmem"
"1734","mp","HC","LP","HF","1","8","corsto"
"1735","mp","HC","LP","HF","f_eg","8","poptre"
"1736","mp","HC","LP","HF","a_sf","8","riblac"
"1737","mp","HC","LP","HF","9","8","shecan"
"1738","mp","HC","LP","HF","11","9","acegla"
"1739","mp","HC","LP","HF","6","9","riblac"
"1740","mp","HC","LP","HF","tml","9","spibet"
"1741","mp","HC","LP","HF","wjt","9","spipyr"
"1742","mp","HC","LP","LF","4","1","amealn"
"1743","mp","HC","LP","LF","3","1","rhoalb"
"1744","mp","HC","LP","LF",NA,"1","samrac"
"1745","mp","HC","LP","LF","tml","1","spibet"
"1746","mp","HC","LP","LF","4","10","alninc"
"1747","mp","HC","LP","LF","4","10","rhoalb"
"1748","mp","HC","LP","LF","11","10","shecan"
"1749","mp","HC","LP","LF","tml","10","spibet"
"1750","mp","HC","LP","LF","b_ll","11","alninc"
"1751","mp","HC","LP","LF","f_eg","11","poptre"
"1752","mp","HC","LP","LF","7","11","rubpar"
"1753","mp","HC","LP","LF","6","11","samrac"
"1754","mp","HC","LP","LF","2","12","menfer"
"1755","mp","HC","LP","LF","6","12","poptre"
"1756","mp","HC","LP","LF","w/9","12","symalb"
"1757","mp","HC","LP","LF","4","12","vibedu"
"1758","mp","HC","LP","LF","4","13","acegla"
"1759","mp","HC","LP","LF","7","13","alnvir"
"1760","mp","HC","LP","LF","sf","13","rubpar"
"1761","mp","HC","LP","LF","4","13","vibedu"
"1762","mp","HC","LP","LF","7","14","amealn"
"1763","mp","HC","LP","LF","7","14","amealn"
"1764","mp","HC","LP","LF","10","14","popbal"
"1765","mp","HC","LP","LF","b_sf","14","riblac"
"1766","mp","HC","LP","LF","1","15","corsto"
"1767","mp","HC","LP","LF","b_sf","15","riblac"
"1768","mp","HC","LP","LF","7","15","rubpar"
"1769","mp","HC","LP","LF","ll","15","vacmem"
"1770","mp","HC","LP","LF","11","16","acegla"
"1771","mp","HC","LP","LF","9","16","alninc"
"1772","mp","HC","LP","LF","2","16","corsto"
"1773","mp","HC","LP","LF","tml","16","spibet"
"1774","mp","HC","LP","LF","11","17","rhoalb"
"1775","mp","HC","LP","LF","4","17","riblac"
"1776","mp","HC","LP","LF","tml","17","rubpar"
"1777","mp","HC","LP","LF","tml","17","rubpar"
"1778","mp","HC","LP","LF","5","18","alninc"
"1779","mp","HC","LP","LF","10","18","corsto"
"1780","mp","HC","LP","LF","ll","18","symalb"
"1781","mp","HC","LP","LF","11","18","vibedu"
"1782","mp","HC","LP","LF","6","19","popbal"
"1783","mp","HC","LP","LF","5","19","poptre"
"1784","mp","HC","LP","LF","3","19","rhoalb"
"1785","mp","HC","LP","LF","2","19","shecan"
"1786","mp","HC","LP","LF","11","2","acegla"
"1787","mp","HC","LP","LF",NA,"2","alnvir"
"1788","mp","HC","LP","LF","4","2","samrac"
"1789","mp","HC","LP","LF","6","2","shecan"
"1790","mp","HC","LP","LF","8","20","alnvir"
"1791","mp","HC","LP","LF","a","20","loninv"
"1792","mp","HC","LP","LF","tml","20","rubpar"
"1793","mp","HC","LP","LF","14","20","sorsco"
"1794","mp","HC","LP","LF","1","21","corsto"
"1795","mp","HC","LP","LF","10","21","shecan"
"1796","mp","HC","LP","LF","ll","21","vacmem"
"1797","mp","HC","LP","LF","10","21","vibedu"
"1798","mp","HC","LP","LF","11","22","acegla"
"1799","mp","HC","LP","LF","9","22","alninc"
"1800","mp","HC","LP","LF","8","22","sorsco"
"1801","mp","HC","LP","LF",NA,"22","spipyr"
"1802","mp","HC","LP","LF","7","23","rubpar"
"1803","mp","HC","LP","LF","6","23","samrac"
"1804","mp","HC","LP","LF","sf","23","symalb"
"1805","mp","HC","LP","LF","sf","23","symalb"
"1806","mp","HC","LP","LF","10","24","popbal"
"1807","mp","HC","LP","LF","10","24","popbal"
"1808","mp","HC","LP","LF","6","24","samrac"
"1809","mp","HC","LP","LF","tml","24","spibet"
