day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,Final.percent,Final.percent,
55,mp,LHH,NA,30,symalb,NA,NA,NA,17,5,7,35,3,50,NA,NA,NA,NA,,,
55,sm,LHH,NA,30,popbal,3,100,1,11,20,3,80,NA,NA,5,NA,NA,NA,,,
55,sm,LHH,NA,30,rubpar,17,100,1,10,25,3,75,NA,NA,NA,y,NA,NA,,,
55,sm,LHH,NA,30,spipyr,9,100,1,17,10,9,10,3,50,22,NA,NA,NA,,,
55,sm,LHH,NA,30,vacmem,17,10,NA,17,45,11,5,9,5,NA,y,3,90,,,
55,mp,LHH,NA,31,corsto,17,100,1,17,25,3,35,1,50,8,NA,NA,NA,,,
55,mp,LHH,NA,31,riblac,7,100,4,7,30,3,60,1,10,36,NA,NA,NA,,,
55,mp,LHH,A,31,vacmem,17,30,NA,11,30,10,10,3,60,NA,y,7,20,,,
55,mp,LHH,B,31,vacmem,1,80,NA,17,20,10,10,7,5,NA,NA,NA,NA,,,
55,sm,LHH,NA,31,alninc,17,65,3,10,25,9,40,7,25,8,NA,10,35,,,
55,sm,LHH,NA,31,amealn,17,100,1,17,10,15,20,9,70,9,NA,NA,NA,,,
55,sm,LHH,NA,31,betpap,17,100,1,17,25,11,25,10,15,8,NA,NA,NA,,,
55,sm,LHH,NA,31,loninv,3,100,3,15,15,10,15,3,50,14,NA,NA,NA,,,
55,mp,LHH,NA,32,alninc,17,100,1,15,50,11,20,10,10,10,NA,NA,NA,,,
55,mp,LHH,NA,32,poptre,17,70,3,NA,NA,NA,NA,NA,NA,2,NA,3,30,,,
55,mp,LHH,NA,32,sorsco,17,100,1,3,100,NA,NA,NA,NA,3,y,NA,NA,,,
55,mp,LHH,A,32,spibet,9,100,3,9,50,7,30,3,10,10,NA,NA,NA,,,
55,mp,LHH,B,32,spibet,1,100,6,7,70,3,10,1,20,51,NA,NA,NA,,,
55,sm,LHH,NA,32,alnvir,15,30,6,15,10,10,10,3,80,NA,NA,3,70,,,
55,sm,LHH,NA,32,betpap,17,50,2,17,50,11,50,,,NA,NA,15,50,,,
55,sm,LHH,NA,32,popbal,17,100,1,17,50,11,30,7,40,6,NA,NA,NA,,,
55,sm,LHH,NA,32,rubpar ,1,100,2,17,15,11,15,9,15,7,NA,NA,NA,,,
55,mp,LHH,NA,33,amealn,17,100,1,17,10,11,5,9,85,17,NA,NA,NA,,,
55,mp,LHH,NA,33,menfer,3,100,4,17,10,3,40,1,50,NA,NA,NA,NA,,,
55,mp,LHH,NA,33,popbal,17,100,1,17,30,15,35,7,35,NA,NA,NA,NA,,,
55,mp,LHH,NA,33,vacmem,17,20,NA,17,20,11,10,,,NA,NA,15,30,,,
55,sm,LHH,13,33,acegla,3,100,4,15,50,11,50,NA,NA,2,NA,NA,NA,,,
55,sm,LHH, b12,33,spipyr,17,100,1,17,25,9,25,3,50,NA,NA,NA,NA,,,
55,sm,LHH,4,33,vibedu,17,100,1,17,40,11,10,7,10,10,NA,NA,NA,,,
55,sm,LHH,extra- branched,33,vibedu,17,60,5,17,50,3,50,NA,NA,2,NA,10,20,,,
55,mp,LHH,NA,34,menfer,3,100,10,17,10,7,10,NA,NA,NA,y,NA,NA,,,
55,mp,LHH,NA,34,popbal,17,100,1,15,25,10,25,3,50,NA,NA,NA,NA,,,
