day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments
116,mp,HC_HP_HF,2,28,amealn,11,20,6,11,10,10,80,9,10,18,NA,10,50,
116,mp,HC_HP_HF,NA,28,spibet,17,100,1,17,15,15,25,11,40,8,NA,NA,NA,
116,mp,HC_HP_HF,NA,28,spipyr,17,100,2,17,50,15,20,3,20,26,NA,NA,NA,
116,sm,HC_HP_HF,8,28,popbal,17,100,1,17,100,,,NA,NA,4,NA,NA,NA,
116,sm,HC_HP_HF,9,28,riblac,17,100,1,15,50,11,15,10,10,17,NA,NA,NA,
116,sm,HC_HP_HF,12,28,shecan,15,100,2,15,40,10,10,3,10,13,y,NA,NA,
116,sm,HC_HP_HF, oc21,28,vacmem,17,10,NA,17,40,15,20,1,10,NA,y,3,90,
116,sm,HC_HP_HF,3,28,vibedu,17,25,4,15,25,3,55,1,20,13,y,3,75,remaining buds dried but still green
116,mp,HC_HP_HF,8,29,amealn,17,100,1,9,20,7,50,3,30,10,NA,NA,NA,
116,mp,HC_HP_HF,9,29,poptre,17,85,7,1,100,NA,NA,NA,NA,1,NA,3,15,dead
116,mp,HC_HP_HF,9,29,sorsco,17,50,2,0,100,NA,NA,NA,NA,4,NA,11,50,turned yellow
116,mp,HC_HP_HF,12,29,vibedu,17,100,1,11,10,9,20,7,20,10,NA,NA,NA,remaining buds dried but still green
116,sm,HC_HP_HF,6,29,alnvir,17,50,2,15,10,11,20,10,20,10,NA,10,50,remaining buds dead
116,sm,HC_HP_HF,3,29,riblac,10,10,10,11,25,10,15,10,20,13,NA,9,20,
116,sm,HC_HP_HF,12,29,sorsco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
116,sm,HC_HP_HF, b24,29,spipyr,17,100,2,17,15,11,20,9,5,13,NA,NA,NA,remaining buds dead
116,mp,HC_HP_HF,8,30,loninv,17,70,3,17,30,9,30,7,15,6,NA,3,30,remaining buds dried out & brown
116,mp,HC_HP_HF,4,30,menfer,0,100,NA,17,10,9,20,7,10,11,NA,NA,NA,
