day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t
27,sm,LHH,NA,30,rubpar,15,100,1,9,25,3,75,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,30,spipyr,7,100,1,10,10,1,40,0,50,22,NA,NA,NA
27,sm,LHH,NA,30,vacmem,3,100,NA,15,5,11,15,10,20,NA,NA,NA,NA
27,mp,LHH,NA,31,corsto,10,100,1,7,25,3,35,1,50,8,NA,NA,NA
27,mp,LHH,NA,31,riblac,7,100,4,7,20,3,70,1,10,36,NA,NA,NA
27,mp,LHH,A,31,vacmem,10,30,NA,9,30,7,10,3,60,NA,NA,7,20
27,mp,LHH,B,31,vacmem,1,80,NA,1,20,0,80,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,31,alninc,7,65,3,3,50,1,50,NA,NA,8,NA,3,35
27,sm,LHH,NA,31,amealn,11,100,1,11,10,10,20,7,70,9,NA,NA,NA
27,sm,LHH,NA,31,betpap,3,100,1,3,90,0,10,NA,NA,8,NA,NA,NA
27,sm,LHH,NA,31,loninv,1,100,3,1,60,0,40,NA,NA,14,NA,NA,NA
27,mp,LHH,NA,32,alninc,3,100,1,3,10,1,60,0,30,10,NA,NA,NA
27,mp,LHH,NA,32,poptre,1,100,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
27,mp,LHH,NA,32,sorsco,10,100,1,1,100,NA,NA,NA,NA,3,NA,NA,NA
27,mp,LHH,A,32,spibet,3,100,3,3,50,1,30,0,20,10,NA,NA,NA
27,mp,LHH,B,32,spibet,1,100,6,7,30,1,20,0,50,51,NA,NA,NA
27,sm,LHH,NA,32,alnvir,3,100,6,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,NA,32,betpap,9,100,2,9,80,7,20,,,NA,NA,NA,NA
27,sm,LHH,NA,32,popbal,7,100,1,9,15,7,30,3,50,6,NA,NA,NA
27,sm,LHH,NA,32,rubpar ,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,33,amealn,9,100,1,9,100,,,NA,NA,17,NA,NA,NA
27,mp,LHH,NA,33,menfer,1,100,4,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,33,popbal,9,100,1,9,30,3,70,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,33,vacmem,17,10,NA,15,10,11,30,9,10,NA,NA,11,30
27,sm,LHH,13,33,acegla,1,100,4,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH, b12,33,spipyr,10,100,1,9,25,7,25,3,50,NA,NA,NA,NA
27,sm,LHH,4,33,vibedu,15,100,1,15,20,11,20,7,10,10,NA,NA,NA
27,sm,LHH,extra- branched,33,vibedu,11,60,5,11,50,3,50,NA,NA,2,NA,10,20
27,mp,LHH,NA,34,menfer,1,100,10,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,34,popbal,7,100,1,7,50,3,50,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,34,rubpar,7,100,1,7,25,3,75,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,34,shecan,7,50,2,9,20,7,40,3,20,NA,y,NA,NA
27,sm,LHH,NA,34,alninc,7,100,1,7,15,3,85,NA,NA,8,NA,NA,NA
27,sm,LHH,NA,34,amealn,10,100,3,10,25,9,40,7,20,13,NA,NA,NA
27,sm,LHH,NA,34,riblac,9,100,1,9,10,3,45,1,35,16,NA,NA,NA
27,sm,LHH,NA,34,vibedu,15,50,2,11,30,10,5,9,5,17,NA,11,50
27,mp,LHH,NA,35,loninv,3,100,1,3,25,1,75,NA,NA,8,NA,NA,NA
27,mp,LHH,NA,35,popbal,10,100,1,1,80,0,20,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,35,spibet,7,100,1,10,25,9,75,NA,NA,NA,NA,NA,NA
27,mp,LHH,NA,35,vibedu,10,100,1,3,100,NA,NA,NA,NA,12,NA,NA,NA
